Quote,Beta,Current Ratio,Diluted EPS,EBITDA,EV,Market Cap,Operating Margin,P/B,P/S,Profit Margin,Qualterly Revenue Growth,ROA,ROE,Revenue,Shares Outstanding,Week Change,isBasicIndustries,isCapitalGoods,isConsumerDurables,isConsumerNonDurables,isConsumerServices,isEnergy,isFinance,isHealthCase,isMiscellaneous,isPublicUtilities,isTechnology,isTransportation
AABA,1.98,17.07,29.96,6650000,59050000000,63160000000,0.1221,0.95,1159.8,453.876,-0.981,0.0001,0.4731,54460000,873380000,873380000,0,0,0,0,0,0,0,0,0,0,1,0
AAL,1.27,0.61,3.9,6790000000,41700000000,22600000000,0.113,5.78,0.54,0.0455,0.083,0.0581,0.4977,42210000000,473140000,473140000,0,0,0,0,0,0,0,0,0,0,0,1
AAME,0.77,1.21,0.2,8520000,73660000,63240000,0.0391,0.56,0.35,0.025,0.22,0.0134,0.0415,181110000,20400000,20400000,0,0,0,0,0,0,1,0,0,0,0,0
AAOI,1.22,3.25,3.67,107330000,555310000,551670000,0.2274,1.65,1.44,0.1934,-0.059,0.1402,0.2638,382330000,19500000,19500000,0,0,0,0,0,0,0,0,0,0,1,0
AAON,0.67,3.07,1.03,89880000,1820000000,1900000000,0.1848,7.99,4.68,0.1345,0.136,0.1692,0.246,405230000,52430000,52430000,0,1,0,0,0,0,0,0,0,0,0,0
AAPL,1.1,1.24,9.7,74170000000,9.32E+11,9.02E+11,0.2687,6.45,3.77,0.2113,0.127,0.1089,0.3707,2.39E+11,5070000000,5070000000,0,0,0,0,0,0,0,0,0,0,1,0
AAWW,1.63,0.8,8.65,438110000,3540000000,1620000000,0.1143,0.9,0.75,0.1036,0.185,0.0335,0.1357,2160000000,25430000,25430000,0,0,0,0,0,0,0,0,0,0,0,1
AAXN,0.76,1.9,0.1,22060000,2190000000,2280000000,0.0408,13.52,6.63,0.0151,0.153,0.0284,0.0327,343800000,53310000,53310000,0,1,0,0,0,0,0,0,0,0,0,0
ABAC,2.2,19.52,0.11,4300000,-40370000,20360000,0.0393,0.23,0.75,0.0411,0.017,0.0073,0.0127,270000000,7980000,7980000,0,0,0,1,0,0,0,0,0,0,0,0
ABAX,2.15,5.92,1.08,45560000,1510000000,1670000000,0.1601,5.93,7.09,0.1051,0.131,0.0754,0.0914,234980000,22700000,22700000,0,1,0,0,0,0,0,0,0,0,0,0
ABIL,0.3,0.91,-0.53,-10090000,5060000,7880000,-2.995,139.09,2.21,0,-0.97,-0.2304,-1.8419,3570000,2580000,2580000,0,0,1,0,0,0,0,0,0,0,0,0
ABMD,-0.12,5.6,1.99,150630000,12840000000,13620000000,0.2589,21.53,25.04,0.1658,0.343,0.1442,0.1719,543990000,44280000,44280000,0,0,0,0,0,0,0,1,0,0,0,0
ACAD,3.91,7.62,-2.36,-289700000,2020000000,2490000000,-2.3411,7.41,19.95,-2.3171,2.642,-0.3865,-0.678,124900000,124700000,124700000,0,0,0,0,0,0,0,1,0,0,0,0
ACET,1.42,2,-0.17,73710000,474770000,227640000,0.0544,0.57,0.31,-0.0079,0.364,0.0245,-0.0148,741230000,30760000,30760000,0,0,0,0,0,0,0,1,0,0,0,0
ACGL,0.46,1.2,4.07,1140000000,11180000000,1.10E+11,0.18,1.34,1.96,0.1101,0.438,0.0206,0.0644,5630000000,136700000,136700000,0,0,0,0,0,0,1,0,0,0,0,0
ACGLP,0.61,1.2,4.07,1140000000,3750000000,11120000000,0.18,0.4,1.98,0.1101,0.438,0.0206,0.0644,5630000000,134880000,134880000,0,0,0,0,0,0,1,0,0,0,0,0
ACHC,0.43,1.25,2.3,580890000,6590000000,3460000000,0.1544,1.33,1.22,0.0705,0.031,0.044,0.0835,2840000000,88270000,88270000,0,0,0,0,0,0,0,1,0,0,0,0
ACIW,1.3,1.31,0.04,178010000,3430000000,2890000000,0.1306,3.82,2.82,0.005,-0.048,0.0444,0.0068,1020000000,115910000,115910000,0,0,0,0,0,0,0,0,0,0,1,0
ACLS,0.5,4.28,3.8,52840000,703070000,774430000,0.1165,2.18,1.89,0.3092,0.678,0.0757,0.4575,410560000,32130000,32130000,0,0,0,0,0,0,0,0,0,0,1,0
ACOR,2.1,3.07,-4.86,136280000,1110000000,1120000000,0.1922,2.13,1.91,-0.3797,0.34,0.0556,-0.3772,588290000,46910000,46910000,0,0,0,0,0,0,0,1,0,0,0,0
ACTG,0.69,14.62,0.44,-1580000,41890000,179760000,-0.3608,0.61,2.75,0.3391,-0.843,-0.0488,0.077,65400000,50640000,50640000,0,0,0,0,0,0,0,0,1,0,0,0
ACXM,0.74,2.21,0.12,81830000,20000000000,2030000000,0.0301,2.63,2.26,0.0114,0.052,0.0139,0.0137,897490000,78670000,78670000,0,0,0,0,0,0,0,0,0,0,1,0
ADAP,1.19,3.1,-0.8,-75240000,958180000,1160000000,-2.132,5.72,30.68,-1.8539,-0.5,-0.1955,-0.38,37830000,93690000,93690000,0,0,0,0,0,0,0,1,0,0,0,0
ADBE,0.76,2.12,3.75,2720000000,1.07E+11,1.14E+11,0.312,13.19,14.78,0.244,0.236,0.1072,0.2316,7700000000,492470000,492470000,0,0,0,0,0,0,0,0,0,0,1,0
ADES,0.38,5.36,1.29,-13030000,195150000,231830000,-0.387,3.09,6.5,0.7809,-0.85,-0.0909,0.3726,35690000,20920000,20920000,1,0,0,0,0,0,0,0,0,0,0,0
ADI,1.08,1.76,2.12,2380000000,41050000000,34970000000,0.2978,3.38,6.2,0.138,0.543,0.0676,0.0994,5640000000,369800000,369800000,0,0,0,0,0,0,0,0,0,0,1,0
ADMA,2.71,6.69,-1.91,-31570000,232750000,213900000,-1.4791,5.3,9.4,-1.9226,2.607,-0.3195,-2.4395,22760000,36730000,36730000,0,0,0,0,0,0,0,1,0,0,0,0
ADMP,0.56,2.44,-0.9,-21630000,111280000,126880000,-1.8888,3.21,9.71,-1.9535,0.151,-0.3461,-0.7879,13070000,33390000,33390000,0,0,0,0,0,0,0,1,0,0,0,0
ADP,0.86,1.06,3.87,2730000000,52050000000,52580000000,0.1863,13.36,4.11,0.1347,0.083,0.0352,0.4448,12790000000,443270000,443270000,0,0,0,0,0,0,0,0,0,0,1,0
ADRO,2.05,8.46,-1.26,-102470000,257140000,575150000,-6.1751,2.32,33.36,0,-0.031,-0.1506,-0.3954,17240000,81010000,81010000,0,0,0,0,0,0,0,1,0,0,0,0
ADTN,0.37,3.87,0.49,53430000,676030000,716170000,0.0566,1.46,1.07,0.0358,-0.222,0.0353,0.0488,666900000,47900000,47900000,0,0,0,0,0,0,0,0,0,1,0,0
ADUS,-1.11,2.9,1.17,32900000,592380000,6250000000,0.0628,3.57,1.5,0.0326,0.06,0.066,0.0809,417460000,11490000,11490000,0,0,0,0,0,0,0,1,0,0,0,0
ADXS,3.72,2.96,-2.37,-100190000,32130000,90500000,-9.8517,1.86,8.79,0,-0.458,-0.5521,-1.3209,10300000,52310000,52310000,0,0,0,0,0,0,0,1,0,0,0,0
AEGN,1.76,2.24,-2.08,114330000,982840000,787460000,0.0514,1.59,0.58,-0.0508,0.049,0.038,-0.1225,1360000000,32590000,32590000,1,0,0,0,0,0,0,0,0,0,0,0
AEIS,1.15,5.61,3.43,210440000,2250000000,2620000000,0.2996,5.02,3.9,0.2054,0.324,0.1926,0.2982,671010000,39700000,39700000,0,1,0,0,0,0,0,0,0,0,0,0
AETI,0.94,1.07,-0.788,-3670000,10860000,7180000,-0.0957,0.99,0.15,-0.0473,0.37,-0.0791,-0.1484,47130000,8750000,8750000,0,0,0,0,0,1,0,0,0,0,0,0
AEY,0.92,4.2,-0.1,1660000,160000000,12680000,-0.001,0.31,0.26,-0.0209,0.016,-0.0005,-0.0247,48900000,10230000,10230000,0,0,0,0,1,0,0,0,0,0,0,0
AFH,0.83,0.58,-3.22,-40550000,106440000,133690000,-0.1906,1.5,0.6,-0.1748,0.274,-0.0584,-0.3561,221980000,11940000,11940000,0,0,0,0,0,0,1,0,0,0,0,0
AFMD,2.14,5.6,-0.85,-33090000,95530000,137260000,-12.307,2.65,50.39,0,-0.534,-0.3708,-0.8595,2720000,62390000,62390000,0,0,0,0,0,0,0,1,0,0,0,0
AFSI,1.18,1.39,-2.23,-290810000,2830000000,2470000000,-0.0753,1.08,0.41,-0.0585,0.016,-0.0117,-0.098,5960000000,196260000,196260000,0,0,0,0,0,0,1,0,0,0,0,0
AGFS,1.06,1.89,0.47,58490000,726600000,372100000,0.0862,0.9,2.27,0.1431,0.048,0.0091,0.0627,164030000,50900000,50900000,0,0,0,0,0,0,1,0,0,0,0,0
AGII,0.5,0.98,1.43,118600000,20000000000,1980000000,0.0476,1.1,1.11,0.0282,0.156,0.0066,0.0279,1780000000,33720000,33720000,0,0,0,0,0,0,1,0,0,0,0,0
AGIO,2.53,4.69,-6.75,-314360000,4580000000,5050000000,-7.4584,11.45,117.33,0,-0.567,-0.3251,-0.8573,43010000,57330000,57330000,0,0,0,0,0,0,0,1,0,0,0,0
AGLE,-0.16,9.77,-1.8,-27430000,110510000,141920000,-5.3172,2.81,27.27,0,0.188,-0.2809,-0.4808,5210000,16720000,16720000,0,0,0,0,0,0,0,1,0,0,0,0
AGTC,2.53,6.49,-0.61,-10530000,-28230000,91430000,-0.362,0.82,2.87,-0.3443,-0.556,-0.0486,-0.0957,31900000,18100000,18100000,0,0,0,0,0,0,0,1,0,0,0,0
AGYS,-0.26,1.48,-0.59,-10970000,239030000,287380000,-0.1101,2.61,2.28,-0.1066,-0.064,-0.0529,-0.1189,125910000,23400000,23400000,0,0,0,0,0,0,0,0,0,0,1,0
AHGP,1.06,0.98,3.11,599440000,1960000000,1400000000,0.1819,2.36,0.78,0.1036,-0.084,0.0924,0.2686,1800000000,59860000,59860000,0,0,0,0,0,1,0,0,0,0,0,0
AIMC,1.53,2.51,1.77,125220000,1580000000,1340000000,0.1017,3.35,1.53,0.0587,0.294,0.0623,0.1512,876740000,29380000,29380000,0,1,0,0,0,0,0,0,0,0,0,0
AKAM,-0.07,2.82,1.26,645300000,12130000000,12380000000,0.1511,3.74,4.95,0.0872,0.077,0.0526,0.0668,2500000000,169980000,169980000,0,0,0,0,0,0,0,0,1,0,0,0
AKAO,1.17,4.83,-3.17,-124990000,403260000,567120000,-11.3043,4.38,50.75,0,-0.826,-0.4374,-1.0986,11180000,44730000,44730000,0,0,0,0,0,0,0,1,0,0,0,0
AKBA,1.51,2.48,-1.77,-79300000,-1390000000,544850000,-0.449,3.87,3.06,-0.4321,55.883,-0.1503,-0.8206,177980000,56110000,56110000,0,0,0,0,0,0,0,1,0,0,0,0
AKER,-1.15,5.26,-0.611,-4600000,39990000,53270000,-1.2344,3.34,13.56,-1.4774,1.126,-0.3796,-0.9287,3930000,8900000,8900000,0,0,0,0,0,0,0,1,0,0,0,0
AKRX,1.66,4.27,-0.2,195800000,2760000000,2420000000,0.1315,2.91,2.88,-0.0292,-0.344,0.0356,-0.0297,841040000,125260000,125260000,0,0,0,0,0,0,0,1,0,0,0,0
AKTS,-0.79,3.96,-0.73,-15080000,97850000,118520000,-14.5738,5.95,110.47,0,1.795,-0.6353,-1.1281,1070000,22320000,22320000,0,0,0,0,0,0,0,0,0,1,0,0
ALCO,1.06,5.39,0.12,30470000,450500000,261920000,0.1206,1.55,2.02,0.0079,0.005,0.0223,0.0056,129920000,8250000,8250000,0,0,0,1,0,0,0,0,0,0,0,0
ALGN,1.69,2.32,2.83,391350000,20250000000,22200000000,0.24,19.28,15.07,0.1571,0.437,0.1393,0.2157,1470000000,80140000,80140000,0,0,0,0,0,0,0,1,0,0,0,0
ALGT,0.13,0.98,11.93,377760000,3080000000,2270000000,0.181,4.14,1.51,0.1297,0.127,0.0882,0.3816,1500000000,15900000,15900000,0,0,0,0,0,0,0,0,0,0,0,1
ALJJ,1.2,1.57,0.26,28900000,192390000,85320000,0.0332,0.92,0.25,0.0285,0.223,0.0306,0.1174,344060000,37920000,37920000,0,0,0,0,0,0,0,0,1,0,0,0
ALKS,2.41,2.78,-1.03,-49380000,6790000000,7260000000,-0.1637,6,8.04,-0.1748,0.29,-0.0525,-0.131,903370000,1550000000,1550000000,0,0,0,0,0,0,0,1,0,0,0,0
ALLT,0.65,4.55,-0.54,-13560000,68770000,178350000,-0.2101,1.24,2.18,-0.2204,-0.012,-0.0573,-0.1203,81990000,33590000,33590000,0,0,0,0,0,0,0,0,0,0,1,0
ALNY,3.26,12.23,-5.42,-486720000,7910000000,9790000000,-5.562,5.51,108.85,0,1.173,-0.1919,-0.3654,89910000,100170000,100170000,0,0,0,0,0,0,0,1,0,0,0,0
ALOG,0.64,5.83,-5.78,45170000,878210000,1040000000,0.0473,2.18,2.22,-0.1534,-0.018,0.0233,-0.1414,469760000,12500000,12500000,0,1,0,0,0,0,0,0,0,0,0,0
ALOT,-0.38,2.46,0.47,8370000,128200000,120010000,0.0386,1.87,1.06,0.029,0.275,0.0265,0.049,113400000,6800000,6800000,0,0,0,0,0,0,0,0,0,0,1,0
ALQA,0.92,0.44,-5.99,-10810000,19320000,11610000,-0.8295,0.74,0.59,-1.3139,0.228,-0.232,-1.1666,19570000,5010000,5010000,0,0,0,0,0,0,0,1,0,0,0,0
ALRM,1.12,3.68,0.59,60690000,1840000000,2020000000,0.1371,8.66,5.95,0.0863,0.272,0.0918,0.138,338940000,47210000,47210000,0,0,0,0,0,0,0,0,0,0,1,0
ALSK,0.56,1.08,-0.12,55070000,264630000,81410000,0.0827,0.53,0.36,-0.0269,-0.049,0.0265,-0.0398,226900000,52530000,52530000,0,0,0,0,0,0,0,0,0,1,0,0
ALT,1.19,6.11,-4.011,-14470000,7450000,14040000,-1.3608,0.36,1.31,0,1.591,-0.1801,-1.1479,10740000,18100000,18100000,0,0,0,0,0,0,0,1,0,0,0,0
ALXN,1.07,3.1,1.97,1470000000,26020000000,25120000000,0.2769,2.82,7.07,0.1248,0.095,0.0458,0.0504,3550000000,222360000,222360000,0,0,0,0,0,0,0,1,0,0,0,0
AMAG,0.1,1.74,-5.71,196310000,1120000000,709050000,0.0724,0.9,1.16,-0.3266,0.045,0.0127,-0.231,609950000,34090000,34090000,0,0,0,0,0,0,0,1,0,0,0,0
AMAT,1.29,2.96,2.66,4690000000,56760000000,57500000000,0.2753,6.76,3.72,0.1854,0.282,0.1524,0.354,15460000000,1050000000,1050000000,0,0,0,0,0,0,0,0,0,0,1,0
AMBA,1.02,9.27,0.55,26200000,1320000000,1650000000,0.0827,3.44,5.59,0.0638,-0.194,0.0288,0.0402,295400000,33310000,33310000,0,0,0,0,0,0,0,0,0,0,1,0
AMBC,1.27,0.32,-7.25,-63650000,14990000000,800110000,-0.378,0.58,1.4,-0.5766,0.108,-0.0059,-0.1815,570060000,45330000,45330000,0,0,0,0,0,0,1,0,0,0,0,0
AMCN,0.22,1.57,-1.424,-101560000,-7640000,46990000,-5.9964,0.21,2.39,0,0.425,-0.1864,-0.4265,19700000,62810000,62810000,0,0,0,0,0,0,0,0,0,0,1,0
AMCX,0.51,2.53,7.18,900670000,5640000000,3160000000,0.2905,23.53,1.12,0.168,-0.004,0.1071,1.6315,2810000000,49240000,49240000,0,0,0,0,1,0,0,0,0,0,0,0
AMD,3.28,1.76,0.04,3480000000,9830000000,10040000000,0.0383,16.39,1.88,0.0081,0.338,0.0372,0.0837,5330000000,969130000,969130000,0,0,0,0,0,0,0,0,0,0,1,0
AMDA,-1.97,0.39,-3.132,-9940000,8670000,6370000,-0.9846,0.83,0.57,-0.8309,-0.334,-0.3378,-1.1188,11230000,4280000,4280000,0,0,0,0,0,0,0,1,0,0,0,0
AMED,0.92,1.45,0.88,128280000,2210000000,2270000000,0.0737,4.41,1.51,0.0201,0.102,0.0898,0.0628,1510000000,33980000,33980000,0,0,0,0,0,0,0,1,0,0,0,0
AMEH,1.34,1.32,0.9,56620000,353590000,456120000,0.105,2.82,1.27,0.0721,0.308,0.0559,0.1562,357750000,32630000,32630000,0,0,0,0,1,0,0,0,0,0,0,0
AMGN,1.71,5.49,2.69,12370000000,1.17E+11,1.17E+11,0.456,5.01,5.12,0.0866,-0.027,0.0826,0.0718,22850000000,668270000,668270000,0,0,0,0,0,0,0,1,0,0,0,0
AMKR,1.36,1.21,1.09,875140000,3190000000,2440000000,0.07,1.46,0.58,0.0623,0.124,0.0426,0.1712,4190000000,239500000,239500000,0,0,0,0,0,0,0,0,0,0,1,0
AMOT,1.42,2.77,0.87,29070000,427270000,392590000,0.0746,4.49,1.56,0.0319,0.181,0.0639,0.1007,252010000,9430000,9430000,0,1,0,0,0,0,0,0,0,0,0,0
AMOV,0.7,0.83,0.48,14150000000,97620000000,63780000000,0.0982,6.17,1.14,0.0287,-0.02,0.0418,0.121,55820000000,66060000000,66060000000,0,0,0,0,0,0,0,0,0,1,0,0
AMPH,1.2,2.8,0.09,11900000,867930000,906620000,-0.0147,2.7,3.77,0.0188,-0.049,-0.005,0.0135,240180000,46350000,46350000,0,0,0,0,0,0,0,1,0,0,0,0
AMRH,-1.72,0.48,-0.75,-7870000,31800000,26500000,-0.2282,1.32,0.55,-0.1867,-0.075,-0.1512,-0.5834,48590000,18790000,18790000,0,0,0,0,0,0,0,0,0,0,1,0
AMRK,0.33,1.09,0.38,5760000,438830000,98650000,0.0005,1.42,0.01,0.0004,-0.21,0.0043,0.0385,6900000000,7030000,7030000,1,0,0,0,0,0,0,0,0,0,0,0
AMSC,1.16,1.76,-1.93,-20790000,105180000,133370000,-0.5448,2.33,2.61,-0.6596,-0.45,-0.1681,-0.5565,51100000,20940000,20940000,0,0,1,0,0,0,0,0,0,0,0,0
AMSF,0.67,0.79,2.4,83230000,982760000,1070000000,0.2192,2.51,2.85,0.1232,-0.037,0.0338,0.1049,375210000,19250000,19250000,0,0,0,0,0,0,1,0,0,0,0,0
AMSWA,0.33,2.27,0.69,16470000,321270000,394370000,0.1301,3.51,3.6,0.1922,0.139,0.0592,0.203,109610000,28200000,28200000,0,0,0,0,0,0,0,0,0,0,1,0
AMWD,1.72,2.27,3.73,135480000,2430000000,1670000000,0.1018,2.97,1.52,0.0556,0.175,0.064,0.1378,1100000000,17500000,17500000,1,0,0,0,0,0,0,0,0,0,0,0
AMZN,1.72,1.04,6.15,15040000000,7.11E+12,7.40E+11,0.0231,26.69,4.16,0.017,0.382,0.0239,0.1291,1.78E+11,484110000,484110000,0,0,0,0,1,0,0,0,0,0,0,0
ANAT,0.95,0.74,18.31,375690000,2380000000,3290000000,0.0943,0.63,0.96,0.1447,0.101,0.0079,0.1,3410000000,26940000,26940000,0,0,0,0,0,0,1,0,0,0,0,0
ANDE,1.17,1.35,1.5,128780000,1400000000,951960000,0.0115,1.16,0.26,0.0115,-0.098,0.0121,0.0528,3690000000,28250000,28250000,0,0,0,0,1,0,0,0,0,0,0,0
ANGI,1.78,1.53,-0.24,-65970000,6560000000,6790000000,-0.1409,6.83,9.22,-0.14,0.805,-0.0736,-0.1741,736390000,63070000,63070000,0,0,0,0,1,0,0,0,0,0,0,0
ANGO,0.71,2.88,0.04,47500000,767220000,752650000,0.0693,1.41,2.2,0.0038,-0.02,0.0212,0.0025,342880000,36800000,36800000,0,0,0,0,0,0,0,1,0,0,0,0
ANIK,1.62,15.78,2.11,50020000,520130000,676950000,0.4032,2.56,5.97,0.2805,0.023,0.1093,0.1309,113420000,14750000,14750000,0,0,0,0,0,0,0,1,0,0,0,0
ANIP,2.04,3.36,-0.09,67560000,863850000,722780000,0.2241,4.11,4.09,-0.0061,0.238,0.0674,-0.0063,176840000,11730000,11730000,0,0,0,0,0,0,0,1,0,0,0,0
ANSS,1.08,2.09,2.98,458410000,12280000000,1.40E+11,0.3567,6.24,12.78,0.2367,0.117,0.0851,0.1164,1100000000,84060000,84060000,0,0,0,0,0,0,0,0,0,0,1,0
ANY,1.62,0.39,-5.26,-15270000,45830000,7310000,-0.262,0.39,0.09,-0.3212,-0.003,-0.1518,-1.6943,81520000,12780000,12780000,0,0,0,0,0,0,0,0,0,0,1,0
AOBC,-0.29,3.12,0.74,107420000,789240000,612750000,0.0852,1.49,0.92,0.0605,-0.326,0.047,0.0976,664010000,54130000,54130000,0,1,0,0,0,0,0,0,0,0,0,0
AOSL,0.29,2.12,0.77,42090000,235860000,375590000,0.036,1.34,0.94,0.0482,0.097,0.0204,0.04,400040000,23910000,23910000,0,0,0,0,0,0,0,0,0,0,1,0
APDN,-2.05,5.29,-0.45,-11160000,38300000,44260000,-2.6218,5.44,9.85,-2.6865,-0.283,-0.5586,-1.1888,4500000,30110000,30110000,0,0,0,0,1,0,0,0,0,0,0,0
APEI,0.9,4.41,1.29,55730000,515790000,705650000,0.1235,2.42,2.36,0.0706,-0.007,0.0706,0.0762,299250000,16390000,16390000,0,0,0,0,1,0,0,0,0,0,0,0
APEN,0.24,2.23,-2.01,-12720000,104310000,102280000,-0.3489,2.04,1.59,-0.4244,0.053,-0.1328,-0.5912,64310000,17340000,17340000,0,0,0,0,0,0,0,1,0,0,0,0
APLP,2.91,1.69,-0.01,230010000,2340000000,1050000000,0.1546,2.08,1.87,-0.0007,0.047,0.0281,-0.0008,557500000,70200000,70200000,0,0,0,0,0,0,0,0,0,1,0,0
APOG,1.51,1.67,2.76,169130000,1330000000,1170000000,0.0862,2.3,0.89,0.0599,0.125,0.0794,0.162,1330000000,28300000,28300000,0,1,0,0,0,0,0,0,0,0,0,0
APPF,0.62,2.25,0.28,13030000,1470000000,1650000000,0.0649,19.33,11.48,0.0676,0.353,0.0575,0.1256,143800000,15060000,15060000,0,0,0,0,0,0,0,0,0,0,1,0
APPS,1.62,0.84,-0.31,-2100000,132020000,132250000,-0.0565,2.17,1.16,-0.1866,0.707,-0.0343,-0.3333,114440000,75140000,75140000,0,0,0,0,0,0,0,0,1,0,0,0
APWC,2.25,2.55,0.237,12620000,30080000,34550000,0.0185,0.23,0.09,0.0083,-0.048,0.014,0.0275,394260000,13820000,13820000,1,0,0,0,0,0,0,0,0,0,0,0
ARAY,2.46,1.54,-0.29,4580000,483790000,439260000,-0.0038,8.94,1.1,-0.0609,0.147,-0.0023,-0.5093,400680000,85290000,85290000,0,0,0,0,0,0,0,1,0,0,0,0
ARCB,1.77,1.3,2.25,159200000,928160000,939760000,0.0208,1.44,0.33,0.0211,0.033,0.0278,0.0955,2830000000,25640000,25640000,0,0,0,0,0,0,0,0,0,0,0,1
ARCI,0.53,1.73,0.75,3180000,8700000,5710000,0.0191,0.35,0.06,0.0499,-0.068,0.0274,0.2148,100640000,6880000,6880000,0,0,0,0,1,0,0,0,0,0,0,0
AREX,3.42,0.67,-1.35,50650000,620670000,256700000,-0.1886,0.42,2.44,-1.0665,0.072,-0.0113,-0.192,105350000,91030000,91030000,0,0,0,0,0,1,0,0,0,0,0,0
ARII,2.09,3.32,7.45,138120000,1150000000,709540000,0.169,1.07,1.49,0.2982,-0.21,0.0344,0.2343,476840000,19080000,19080000,0,1,0,0,0,0,0,0,0,0,0,0
ARKR,0.54,0.32,1.11,9390000,102990000,84230000,0.0379,2.04,0.54,0.0254,0.024,0.047,0.1025,154810000,3440000,3440000,0,0,0,0,1,0,0,0,0,0,0,0
ARLP,0.65,0.97,2.8,601390000,2730000000,2190000000,0.183,1.93,1.22,0.1569,-0.084,0.0931,0.271,1800000000,130900000,130900000,0,0,0,0,0,1,0,0,0,0,0,0
ARLZ,0.73,0.78,-1.89,-24980000,344160000,92680000,-0.5737,6.34,0.87,-1.1818,0.401,-0.0782,-1.859,105950000,66850000,66850000,0,0,0,0,0,0,0,1,0,0,0,0
ARNA,2.51,3.89,-2.77,-75710000,1170000000,1920000000,-3.749,7.42,90.01,0,-0.82,-0.1967,-0.7745,21340000,49060000,49060000,0,0,0,0,0,0,0,1,0,0,0,0
ARRS,1.1,1.51,0.49,755390000,6740000000,5110000000,0.043,1.61,0.77,0.0139,-0.012,0.0231,0.0206,6610000000,185240000,185240000,0,0,0,0,0,0,0,0,0,0,1,0
ARRY,2.02,6.16,-0.77,-117260000,2810000000,3170000000,-2.366,13.1,62.86,-2.7116,0.196,-0.2032,-0.9309,50510000,207640000,207640000,0,0,0,0,0,0,0,1,0,0,0,0
ARTNA,-0.09,0.67,1.51,36450000,457130000,343470000,0.3271,2.34,4.18,0.17,0.04,0.0356,0.0979,82230000,8340000,8340000,0,0,0,0,0,0,0,0,0,1,0,0
ARTX,1.25,1.97,0.14,6540000,96580000,87360000,0.0293,1.23,0.88,0.0388,0.349,0.016,0.0563,98720000,26080000,26080000,0,0,0,0,0,0,0,0,1,0,0,0
ARWR,1.67,3.87,-0.48,-31260000,578390000,608380000,-1.1753,7.43,19.91,-1.1617,-0.196,-0.1931,-0.424,30550000,86790000,86790000,0,0,0,0,0,0,0,1,0,0,0,0
ASCMA,1.84,1.38,-8.82,294120000,1730000000,45830000,0.0876,0.31,0.08,-0.1943,-0.051,0.0145,-0.5646,553450000,11910000,11910000,0,0,0,0,1,0,0,0,0,0,0,0
ASFI,-0.16,16.27,-0.07,2380000,92150000,23180000,0.0429,0.19,0.48,-0.0147,-0.218,0.0056,0.0043,48030000,6620000,6620000,0,0,0,0,0,0,1,0,0,0,0,0
ASML,1.15,2.66,6.32,3560000000,87610000000,88200000000,0.2836,6.02,7.92,0.2458,0.342,0.0835,0.1936,11130000000,429940000,429940000,0,0,0,0,0,0,0,0,0,0,1,0
ASNA,1.19,1.29,-5.52,521600000,1530000000,431520000,0.0214,0.54,0.07,-0.1652,-0.017,0.0191,-0.8117,6530000000,191790000,191790000,0,0,0,0,1,0,0,0,0,0,0,0
ASND,0.88,8.61,-4.53,-136260000,2340000000,2720000000,-72.9026,10.51,1444.51,0,-0.732,-0.3476,-0.6811,1880000,41520000,41520000,0,0,0,0,0,0,0,1,0,0,0,0
ASPS,0.42,2.48,16.53,124220000,705720000,449780000,0.0556,1.33,0.48,0.3278,-0.095,0.0421,1.5497,942210000,17400000,17400000,0,0,0,0,1,0,0,0,0,0,0,0
ASPU,1.57,1.64,-0.32,-3050000,98960000,114700000,-0.1765,7.01,6.01,-0.2159,0.526,-0.1073,-0.4625,19090000,15130000,15130000,0,0,0,0,1,0,0,0,0,0,0,0
ASTE,0.75,3.37,1.63,81340000,1230000000,1340000000,0.0469,1.96,1.13,0.0319,-0.043,0.04,0.0563,1180000000,23070000,23070000,0,1,0,0,0,0,0,0,0,0,0,0
ASUR,0.83,1.25,-0.53,8170000,223500000,189640000,0.0388,2.95,3.48,-0.1051,0.576,0.0091,-0.1395,54440000,12580000,12580000,0,0,0,0,0,0,0,0,0,0,1,0
ASYS,2.24,2.35,1.12,20680000,69690000,113510000,0.0879,1.15,0.54,0.0748,1.527,0.0795,0.1821,208990000,14900000,14900000,0,0,0,0,0,0,0,0,0,0,1,0
ATAI,2.09,2.59,-0.167,8960000,79590000,124800000,0.086,2.16,1.49,-0.0457,0.157,0.0496,-0.0618,83620000,22900000,22900000,0,0,0,0,1,0,0,0,0,0,0,0
ATHN,0.76,1.84,1.31,165300000,5810000000,5900000000,0.0732,7.45,4.83,0.0435,0.142,0.0443,0.0745,1220000000,40100000,40100000,0,0,0,0,0,0,0,0,1,0,0,0
ATHX,-0.42,3.09,-0.29,-32600000,217310000,278420000,-8.976,10.58,75.09,0,0.19,-0.7901,-1.866,3710000,137830000,137830000,0,0,0,0,0,0,0,1,0,0,0,0
ATNI,0.11,2.12,1.94,148940000,947430000,1080000000,0.1288,1.55,2.24,0.0654,-0.162,0.0322,0.0597,481190000,16030000,16030000,0,0,0,0,0,0,0,0,0,1,0,0
ATRC,-0.2,2.58,-0.83,-19930000,731850000,755200000,-0.1663,4.62,4.32,-0.1539,0.119,-0.0668,-0.1632,174720000,35080000,35080000,0,0,0,0,0,0,0,1,0,0,0,0
